DAUID,Population,sexSRMSE,sexTAE_DA,sex%SAE_DA,ageSRMSE,ageTAE_DA,age%SAE_DA,sex0TAE,sex1TAE,age0TAE,age1TAE,age2TAE,age3TAE,age4TAE,age5TAE,age6TAE,sexSAE,sexSAE,ageSAE,ageSAE,ageSAE,ageSAE,ageSAE,ageSAE,ageSAE,sex0Target,sex1Target,age0Target,age1Target,age2Target,age3Target,age4Target,age5Target,age6Target,sex0Result,sex1Result,age0Result,age1Result,age2Result,age3Result,age4Result,age5Result,age6Result
1,622.0,3.554132581528107,105.0,0.18584070796460178,1.7684551530413726,99.0,0.1752212389380531,24.0,81.0,21.0,21.0,13.0,15.0,21.0,1.0,7.0,0.1016949152542373,0.20984455958549222,0.2079207920792079,0.875,0.1780821917808219,0.125,0.15441176470588236,0.015151515151515152,0.06862745098039216,260.0,305.0,80.0,45.0,60.0,105.0,115.0,65.0,95.0,236.0,386.0,101.0,24.0,73.0,120.0,136.0,66.0,102.0
2,406.0,4.278629063925345,113.0,0.30133333333333334,2.4445858544956036,105.0,0.28,41.0,72.0,20.0,35.0,15.0,15.0,11.0,6.0,3.0,0.3178294573643411,0.259927797833935,0.8,0.5384615384615384,0.21428571428571427,0.21428571428571427,0.171875,0.20689655172413793,0.03614457831325301,170.0,205.0,45.0,30.0,55.0,55.0,75.0,35.0,80.0,129.0,277.0,25.0,65.0,70.0,70.0,64.0,29.0,83.0
3,469.0,5.09196326456117,150.0,0.33707865168539325,2.431072265390431,110.0,0.24719101123595505,87.0,63.0,11.0,17.0,10.0,12.0,4.0,42.0,14.0,0.29292929292929293,0.36627906976744184,0.15492957746478872,5.666666666666667,0.15384615384615385,0.22641509433962265,0.0449438202247191,0.4117647058823529,0.16279069767441862,210.0,235.0,60.0,20.0,55.0,65.0,85.0,60.0,100.0,297.0,172.0,71.0,3.0,65.0,53.0,89.0,102.0,86.0
4,421.0,2.3388308767693893,54.0,0.14025974025974025,4.068248929287557,154.0,0.4,45.0,9.0,43.0,5.0,0.0,12.0,4.0,33.0,57.0,0.20930232558139536,0.043689320388349516,1.0238095238095237,0.2,0.0,0.22641509433962265,0.06557377049180328,0.4230769230769231,0.44881889763779526,170.0,215.0,85.0,20.0,35.0,65.0,65.0,45.0,70.0,215.0,206.0,42.0,25.0,35.0,53.0,61.0,78.0,127.0
